starttime	seconds	ctime	dtime	ttime	wait
Thu May 12 00:57:19 2022	1652288239	0	477	477	368
Thu May 12 00:57:19 2022	1652288239	0	477	477	353
Thu May 12 00:57:19 2022	1652288239	1	476	477	451
Thu May 12 00:57:14 2022	1652288234	0	477	477	367
Thu May 12 00:57:20 2022	1652288240	3	474	477	467
Thu May 12 00:57:18 2022	1652288238	0	478	478	394
Thu May 12 00:57:14 2022	1652288234	0	478	478	378
Thu May 12 00:57:22 2022	1652288242	0	478	478	465
Thu May 12 00:57:24 2022	1652288244	0	478	478	397
Thu May 12 00:57:24 2022	1652288244	0	478	478	347
Thu May 12 00:57:19 2022	1652288239	0	479	479	473
Thu May 12 00:57:19 2022	1652288239	1	478	479	431
Thu May 12 00:57:14 2022	1652288234	0	479	479	378
Thu May 12 00:57:14 2022	1652288234	0	479	479	465
Thu May 12 00:57:19 2022	1652288239	0	480	480	304
Thu May 12 00:57:19 2022	1652288239	0	480	480	462
Thu May 12 00:57:14 2022	1652288234	0	480	480	386
Thu May 12 00:57:16 2022	1652288236	1	479	480	348
Thu May 12 00:57:22 2022	1652288242	0	481	481	393
Thu May 12 00:57:13 2022	1652288233	0	481	481	382
Thu May 12 00:57:22 2022	1652288242	0	482	482	462
Thu May 12 00:57:14 2022	1652288234	0	482	482	367
Thu May 12 00:57:14 2022	1652288234	0	482	482	338
Thu May 12 00:57:19 2022	1652288239	1	481	482	460
Thu May 12 00:57:19 2022	1652288239	0	482	482	474
Thu May 12 00:57:22 2022	1652288242	0	483	483	466
Thu May 12 00:57:14 2022	1652288234	0	483	483	476
Thu May 12 00:57:22 2022	1652288242	1	482	483	469
Thu May 12 00:57:24 2022	1652288244	0	483	483	412
Thu May 12 00:57:21 2022	1652288241	0	484	484	248
Thu May 12 00:57:19 2022	1652288239	0	484	484	417
Thu May 12 00:57:19 2022	1652288239	0	485	485	330
Thu May 12 00:57:23 2022	1652288243	0	485	485	477
Thu May 12 00:57:14 2022	1652288234	2	483	485	457
Thu May 12 00:57:24 2022	1652288244	0	485	485	413
Thu May 12 00:57:19 2022	1652288239	0	486	486	433
Thu May 12 00:57:14 2022	1652288234	1	485	486	357
Thu May 12 00:57:19 2022	1652288239	0	487	487	439
Thu May 12 00:57:19 2022	1652288239	0	487	487	465
Thu May 12 00:57:24 2022	1652288244	0	487	487	468
Thu May 12 00:57:14 2022	1652288234	0	487	487	364
Thu May 12 00:57:19 2022	1652288239	1	487	487	410
Thu May 12 00:57:24 2022	1652288244	0	488	488	425
Thu May 12 00:57:21 2022	1652288241	0	489	489	465
Thu May 12 00:57:23 2022	1652288243	0	490	490	484
Thu May 12 00:57:21 2022	1652288241	0	490	490	465
Thu May 12 00:57:19 2022	1652288239	0	491	491	335
Thu May 12 00:57:14 2022	1652288234	1	490	491	328
Thu May 12 00:57:23 2022	1652288243	0	491	491	465
Thu May 12 00:57:14 2022	1652288234	0	492	492	380
Thu May 12 00:57:13 2022	1652288233	0	492	492	466
Thu May 12 00:57:18 2022	1652288238	0	493	493	264
Thu May 12 00:57:18 2022	1652288238	0	493	493	273
