starttime	seconds	ctime	dtime	ttime	wait
Thu May 12 00:57:21 2022	1652288241	0	319	319	309
Thu May 12 00:57:21 2022	1652288241	0	320	320	113
Thu May 12 00:57:20 2022	1652288240	0	320	320	304
Thu May 12 00:57:24 2022	1652288244	0	320	320	314
Thu May 12 00:57:24 2022	1652288244	1	319	320	311
Thu May 12 00:57:22 2022	1652288242	0	320	320	117
Thu May 12 00:57:24 2022	1652288244	1	319	321	196
Thu May 12 00:57:24 2022	1652288244	1	320	321	314
Thu May 12 00:57:19 2022	1652288239	1	320	321	296
Thu May 12 00:57:24 2022	1652288244	0	321	321	288
Thu May 12 00:57:24 2022	1652288244	0	321	321	295
Thu May 12 00:57:12 2022	1652288232	1	320	321	310
Thu May 12 00:57:17 2022	1652288237	0	322	322	316
Thu May 12 00:57:24 2022	1652288244	0	322	322	292
Thu May 12 00:57:24 2022	1652288244	0	322	322	317
Thu May 12 00:57:15 2022	1652288235	0	323	323	317
Thu May 12 00:57:24 2022	1652288244	0	324	324	316
Thu May 12 00:57:17 2022	1652288237	0	324	324	315
Thu May 12 00:57:22 2022	1652288242	0	325	325	291
Thu May 12 00:57:15 2022	1652288235	0	326	326	321
Thu May 12 00:57:16 2022	1652288236	1	325	326	168
Thu May 12 00:57:24 2022	1652288244	0	327	327	321
Thu May 12 00:57:15 2022	1652288235	0	327	327	320
Thu May 12 00:57:15 2022	1652288235	1	326	327	312
Thu May 12 00:57:12 2022	1652288232	1	326	327	315
Thu May 12 00:57:19 2022	1652288239	0	328	328	305
Thu May 12 00:57:19 2022	1652288239	1	327	328	320
Thu May 12 00:57:18 2022	1652288238	0	328	328	304
Thu May 12 00:57:14 2022	1652288234	0	329	329	225
Thu May 12 00:57:14 2022	1652288234	0	329	329	309
Thu May 12 00:57:15 2022	1652288235	1	328	329	321
Thu May 12 00:57:15 2022	1652288235	1	329	330	320
Thu May 12 00:57:15 2022	1652288235	0	330	330	154
Thu May 12 00:57:20 2022	1652288240	0	332	332	323
Thu May 12 00:57:12 2022	1652288232	0	332	332	325
Thu May 12 00:57:21 2022	1652288241	0	334	334	315
Thu May 12 00:57:21 2022	1652288241	0	334	334	329
Thu May 12 00:57:21 2022	1652288241	0	334	334	326
Thu May 12 00:57:15 2022	1652288235	0	334	334	325
Thu May 12 00:57:18 2022	1652288238	1	334	335	244
Thu May 12 00:57:18 2022	1652288238	0	335	335	246
Thu May 12 00:57:18 2022	1652288238	0	335	335	203
Thu May 12 00:57:15 2022	1652288235	0	335	335	325
Thu May 12 00:57:24 2022	1652288244	0	335	335	331
Thu May 12 00:57:24 2022	1652288244	0	336	336	331
Thu May 12 00:57:15 2022	1652288235	0	338	338	333
Thu May 12 00:57:24 2022	1652288244	0	339	339	333
Thu May 12 00:57:14 2022	1652288234	0	339	339	321
Thu May 12 00:57:19 2022	1652288239	1	339	340	335
Thu May 12 00:57:21 2022	1652288241	0	340	341	314
Thu May 12 00:57:12 2022	1652288232	0	342	342	337
Thu May 12 00:57:15 2022	1652288235	0	343	343	337
Thu May 12 00:57:15 2022	1652288235	0	344	344	334
Thu May 12 00:57:12 2022	1652288232	0	344	344	330
Thu May 12 00:57:21 2022	1652288241	1	344	345	306
Thu May 12 00:57:15 2022	1652288235	0	345	345	139
Thu May 12 00:57:24 2022	1652288244	0	345	345	328
Thu May 12 00:57:24 2022	1652288244	1	344	345	147
Thu May 12 00:57:15 2022	1652288235	0	345	345	339
Thu May 12 00:57:24 2022	1652288244	0	345	345	336
Thu May 12 00:57:21 2022	1652288241	0	346	346	183
Thu May 12 00:57:15 2022	1652288235	0	346	346	338
Thu May 12 00:57:20 2022	1652288240	0	347	347	322
Thu May 12 00:57:24 2022	1652288244	1	346	347	330
Thu May 12 00:57:15 2022	1652288235	1	347	348	338
Thu May 12 00:57:20 2022	1652288240	1	348	348	339
Thu May 12 00:57:15 2022	1652288235	0	349	349	339
Thu May 12 00:57:18 2022	1652288238	0	351	351	206
Thu May 12 00:57:18 2022	1652288238	0	353	353	291
Thu May 12 00:57:24 2022	1652288244	0	353	353	201
Thu May 12 00:57:21 2022	1652288241	0	354	354	314
Thu May 12 00:57:20 2022	1652288240	0	354	354	344
Thu May 12 00:57:24 2022	1652288244	1	353	354	347
Thu May 12 00:57:20 2022	1652288240	0	356	356	349
Thu May 12 00:57:13 2022	1652288233	1	355	356	340
Thu May 12 00:57:21 2022	1652288241	0	356	356	146
Thu May 12 00:57:20 2022	1652288240	1	355	356	345
Thu May 12 00:57:20 2022	1652288240	0	357	357	344
Thu May 12 00:57:21 2022	1652288241	0	358	358	353
Thu May 12 00:57:21 2022	1652288241	1	358	359	303
Thu May 12 00:57:18 2022	1652288238	0	359	359	165
Thu May 12 00:57:18 2022	1652288238	0	359	359	280
Thu May 12 00:57:19 2022	1652288239	0	359	359	350
Thu May 12 00:57:12 2022	1652288232	0	360	360	355
Thu May 12 00:57:21 2022	1652288241	0	361	361	140
Thu May 12 00:57:24 2022	1652288244	1	361	362	196
Thu May 12 00:57:21 2022	1652288241	1	362	363	141
Thu May 12 00:57:15 2022	1652288235	0	364	364	359
Thu May 12 00:57:19 2022	1652288239	0	364	364	358
Thu May 12 00:57:18 2022	1652288238	0	365	365	253
Thu May 12 00:57:19 2022	1652288239	0	365	365	355
Thu May 12 00:57:19 2022	1652288239	1	364	365	354
Thu May 12 00:57:18 2022	1652288238	0	367	367	156
Thu May 12 00:57:24 2022	1652288244	1	366	367	215
Thu May 12 00:57:24 2022	1652288244	0	368	368	347
Thu May 12 00:57:24 2022	1652288244	0	368	368	361
Thu May 12 00:57:20 2022	1652288240	1	367	368	203
Thu May 12 00:57:24 2022	1652288244	0	369	369	359
Thu May 12 00:57:24 2022	1652288244	1	368	369	351
Thu May 12 00:57:24 2022	1652288244	0	370	370	350
Thu May 12 00:57:24 2022	1652288244	1	370	371	349
Thu May 12 00:57:15 2022	1652288235	0	371	371	366
Thu May 12 00:57:16 2022	1652288236	2	369	371	194
Thu May 12 00:57:14 2022	1652288234	1	371	372	254
Thu May 12 00:57:14 2022	1652288234	0	372	372	349
Thu May 12 00:57:20 2022	1652288240	0	372	372	359
Thu May 12 00:57:12 2022	1652288232	1	372	373	332
Thu May 12 00:57:24 2022	1652288244	1	373	374	362
Thu May 12 00:57:19 2022	1652288239	0	374	374	344
Thu May 12 00:57:19 2022	1652288239	0	374	374	343
